county_id,location_id
203,5001
203,5001
203,5001
203,5001
422,5002
422,5002
422,5002
422,5002
422,5002
422,5002
615,5002
201,5002
2536,5003
2600,5003
457,5003
457,5003
457,5003
457,5003
102,5004
2251,5005
713,5005
2293,5005
2296,5005
2536,5006
2567,5006
2564,5007
24,5007
2582,5007
2582,5007
221,5008
227,5009
1279,5010
50,5010
1292,5010
536,5010
2626,5014
2695,5014
2748,5014
693,5014
713,5015
30,5015
372,5015
2741,5016
1948,5017
59,5018
264,5020
310,5021
310,5021
1228,5021
1228,5021
1228,5021
1228,5021
3088,5022
3088,5022
3088,5022
243,5023
245,5023
2656,5024
2656,5024
2971,5024
2984,5024
318,5026
318,5026
119,5027
119,5027
119,5027
2209,5028
2232,5028
65,5028
709,5029
122,5030
2184,5030
105,5031
105,5031
105,5031
105,5031
106,5031
418,5032
418,5032
25,5032
25,5032
134,5032
134,5032
1794,5033
1794,5033
1817,5033
194,5034
218,5035
218,5035
241,5035
203,5036
203,5036
203,5036
95,5037
97,5037
102,5037
104,5037
104,5037
104,5037
14,5038
14,5038
14,5038
36,5038
1564,5038
261,5039
1729,5039
2059,5040
2059,5040
2059,5040
426,5042
426,5042
426,5042
426,5042
426,5042
426,5042
426,5042
426,5042
426,5042
426,5042
426,5042
185,5043
1916,5044
1980,5044
1980,5044
2148,5045
2201,5045
2201,5045
2202,5045
1314,5046
1339,5046
264,5047
2741,5049
301,5050
301,5050
1156,5051
346,5052
346,5052
346,5052
214,5053
214,5053
214,5054
214,5054
2054,5055
341,5055
199,5056
199,5056
243,5057
245,5057
37,5058
1147,5058
1147,5058
2244,5059
2244,5059
2244,5059
217,5060
846,5061
2128,5061
223,5062
2670,5063
2699,5063
2699,5063
2699,5063
29,5064
29,5064
1331,5065
1331,5065
1331,5065
1339,5065
1374,5065
1374,5065
1374,5065
65,5065
65,5065
70,5066
1220,5067
1781,5067
1841,5068
1841,5068
2564,5069
119,5070
1707,5071
697,5072
102,5073
102,5073
1929,5074
1929,5074
1929,5074
102,5075
102,5075
370,5076
1781,5077
102,5078
3060,5080
323,5081
214,5081
37,5082
37,5082
59,5082
1128,5083
1920,5084
1920,5084
1920,5084
2761,5085
2673,5086
221,5088
24,5089
443,5090
119,5091
1760,5092
1760,5092
102,5093
426,5094
426,5094
426,5094
2824,5095
2825,5095
302,5096
302,5096
302,5096
214,5097
214,5097
50,5098
50,5098
550,5099
234,5100
185,5101
199,5101
51,5102
2985,5103
2985,5103
2985,5103
2327,5104
1886,5105
24,5106
1119,5107
1120,5107
220,5108
498,5109
203,5110
203,5110
24,5111
166,5111
166,5111
166,5111
166,5111
