id,"code",location_id,county_id
38368,"35548",NULL,47
38369,"35549",NULL,64
38370,"35550",NULL,64
38371,"35551",NULL,67
38372,"35552",NULL,38
38373,"35553",NULL,67
38374,"35554",NULL,29
38375,"35555",NULL,29
38376,"35559",NULL,29
38377,"35560",NULL,64
38378,"35563",NULL,47
38379,"35564",NULL,47
38380,"35565",NULL,67
38381,"35570",NULL,47
38382,"35571",NULL,30
38383,"35572",NULL,67
38384,"35573",NULL,64
38385,"35574",NULL,38
38386,"35575",NULL,67
38387,"35576",NULL,38
38388,"35577",NULL,67
38389,"35578",NULL,64
38390,"35579",NULL,64
38391,"35580",NULL,64
38392,"35581",NULL,30
38393,"35582",NULL,30
38394,"35584",NULL,64
38395,"35585",NULL,30
38396,"35586",NULL,38
38397,"35587",NULL,64
38398,"35592",NULL,38
38399,"35593",NULL,30
38400,"35594",NULL,47
38401,"35601",NULL,52
38402,"35602",NULL,52
38403,"35603",NULL,52
38404,"35609",NULL,52
38405,"35610",NULL,39
38406,"35611",NULL,42
38407,"35612",NULL,42
38408,"35613",NULL,42
38409,"35614",NULL,42
38410,"35615",NULL,42
38411,"35616",NULL,17
38412,"35617",NULL,39
38413,"35618",NULL,40
38414,"35619",NULL,40
38415,"35620",NULL,42
38416,"35621",NULL,52
38417,"35622",NULL,52
38418,"35630",NULL,39
38419,"35631",NULL,39
38420,"35632",NULL,39
38421,"35633",NULL,39
38422,"35634",NULL,39
38423,"35640",NULL,52
38424,"35643",NULL,40
38425,"35645",NULL,39
38426,"35646",NULL,17
38427,"35647",NULL,42
38428,"35648",NULL,39
38429,"35649",NULL,42
38430,"35650",NULL,40
38431,"35651",NULL,40
38432,"35652",NULL,39
38433,"35653",NULL,30
38434,"35654",NULL,30
38435,"35660",NULL,17
38436,"35661",NULL,17
38437,"35662",NULL,17
38438,"35670",NULL,52
38439,"35671",NULL,42
38440,"35672",NULL,40
38441,"35673",NULL,40
38442,"35674",NULL,17
38443,"35677",NULL,39
38444,"35699",NULL,52
38445,"35739",NULL,42
38446,"35740",NULL,36
38447,"35741",NULL,45
38448,"35742",NULL,42
38449,"35744",NULL,36
38450,"35745",NULL,36
38451,"35746",NULL,36
38452,"35747",NULL,48
38453,"35748",NULL,45
38454,"35749",NULL,45
38455,"35750",NULL,45
38456,"35751",NULL,36
38457,"35752",NULL,36
38458,"35754",NULL,52
38459,"35755",NULL,48
38460,"35756",NULL,42
38461,"35757",NULL,45
38462,"35758",NULL,45
38463,"35759",NULL,45
38464,"35760",NULL,45
38465,"35761",NULL,45
38466,"35762",NULL,45
38467,"35763",NULL,45
38468,"35764",NULL,36
38469,"35765",NULL,36
38470,"35766",NULL,36
38471,"35767",NULL,45
38472,"35768",NULL,36
38473,"35769",NULL,36
38474,"35771",NULL,36
38475,"35772",NULL,36
38476,"35773",NULL,45
38477,"35774",NULL,36
38478,"35775",NULL,52
38479,"35776",NULL,36
38480,"35801",NULL,45
38481,"35802",NULL,45
38482,"35803",NULL,45
38483,"35804",NULL,45
38484,"35805",NULL,45
38485,"35806",NULL,45
38486,"35807",NULL,45
